team,rating,source,tier,notes
Philadelphia Eagles,7.2,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0657; Def EPA/play allowed: -0.0905; Net EPA/play: 0.1562; Games: 39; Generated: 2026-08-30 06:02 PM"
Baltimore Ravens,7.0,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.1375; Def EPA/play allowed: -0.0141; Net EPA/play: 0.1516; Games: 36; Generated: 2026-08-30 06:02 PM"
Buffalo Bills,7.0,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.1531; Def EPA/play allowed: -0.0002; Net EPA/play: 0.1533; Games: 39; Generated: 2026-08-30 06:02 PM"
Detroit Lions,5.9,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.1156; Def EPA/play allowed: -0.0121; Net EPA/play: 0.1277; Games: 35; Generated: 2026-08-30 06:02 PM"
Denver Broncos,5.1,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0152; Def EPA/play allowed: -0.0954; Net EPA/play: 0.1105; Games: 37; Generated: 2026-08-30 06:02 PM"
Green Bay Packers,5.1,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0917; Def EPA/play allowed: -0.0186; Net EPA/play: 0.1102; Games: 36; Generated: 2026-08-30 06:02 PM"
Seattle Seahawks,4.7,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0238; Def EPA/play allowed: -0.0776; Net EPA/play: 0.1014; Games: 37; Generated: 2026-08-30 06:02 PM"
Houston Texans,3.4,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: -0.0431; Def EPA/play allowed: -0.116; Net EPA/play: 0.0729; Games: 38; Generated: 2026-08-30 06:02 PM"
Los Angeles Rams,3.0,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0645; Def EPA/play allowed: 0.0009; Net EPA/play: 0.0637; Games: 39; Generated: 2026-08-30 06:02 PM"
Los Angeles Chargers,2.5,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: -0.0301; Def EPA/play allowed: -0.0823; Net EPA/play: 0.0522; Games: 36; Generated: 2026-08-30 06:02 PM"
